source_id,source_name,publisher,year,region,area,sex,age_group,cancer_type,indicator,value,unit,source_url,evidence_note,data_quality
globocan_2022_turkiye_factsheet,GLOBOCAN 2022 Türkiye Fact Sheet,IARC / Global Cancer Observatory,2022,Türkiye,Türkiye,All,All ages,All cancers,new_cases_count,240013,count,https://gco.iarc.who.int/media/globocan/factsheets/populations/792-turkiye-fact-sheet.pdf,"Türkiye all cancers new cases, 2022",official_source_backed
globocan_2022_turkiye_factsheet,GLOBOCAN 2022 Türkiye Fact Sheet,IARC / Global Cancer Observatory,2022,Türkiye,Türkiye,All,All ages,All cancers,deaths_count,129672,count,https://gco.iarc.who.int/media/globocan/factsheets/populations/792-turkiye-fact-sheet.pdf,"Türkiye all cancers deaths, 2022",official_source_backed
globocan_2022_turkiye_factsheet,GLOBOCAN 2022 Türkiye Fact Sheet,IARC / Global Cancer Observatory,2022,Türkiye,Türkiye,All,All ages,All cancers,five_year_prevalence_count,679335,count,https://gco.iarc.who.int/media/globocan/factsheets/populations/792-turkiye-fact-sheet.pdf,"Türkiye all cancers 5-year prevalent cases, 2022",official_source_backed
canscreen5_turkiye_country_factsheet,CanScreen5 Türkiye Country Fact Sheet,IARC / CanScreen5,latest_available,Türkiye,Türkiye,All,All ages,All cancers,overall_incidence_rate,225.9,rate_per_100000,https://canscreen5.iarc.fr/?page=countryfactsheet&q=TUR,"Overall cancer incidence rate per 100,000 persons per year",official_source_backed
canscreen5_turkiye_country_factsheet,CanScreen5 Türkiye Country Fact Sheet,IARC / CanScreen5,latest_available,Türkiye,Türkiye,All,All ages,All cancers,overall_mortality_rate,116.1,rate_per_100000,https://canscreen5.iarc.fr/?page=countryfactsheet&q=TUR,"Overall cancer mortality rate per 100,000 persons per year",official_source_backed
canscreen5_turkiye_country_factsheet,CanScreen5 Türkiye Country Fact Sheet,IARC / CanScreen5,latest_available,Türkiye,Türkiye,Female,All ages,Breast,female_breast_incidence_rate,46.8,rate_per_100000,https://canscreen5.iarc.fr/?page=countryfactsheet&q=TUR,Most common cancer site by incidence for females: Breast,official_source_backed
canscreen5_turkiye_country_factsheet,CanScreen5 Türkiye Country Fact Sheet,IARC / CanScreen5,latest_available,Türkiye,Türkiye,Female,All ages,Breast,female_breast_mortality_rate,12.5,rate_per_100000,https://canscreen5.iarc.fr/?page=countryfactsheet&q=TUR,Most common cancer site by mortality for females: Breast,official_source_backed
canscreen5_turkiye_country_factsheet,CanScreen5 Türkiye Country Fact Sheet,IARC / CanScreen5,latest_available,Türkiye,Türkiye,Male,All ages,Lung,male_lung_incidence_rate,68.0,rate_per_100000,https://canscreen5.iarc.fr/?page=countryfactsheet&q=TUR,Most common cancer site by incidence for males: Lung,official_source_backed
