record_id,data_status,data_type,geography_level,country,iso3,region_code,region_name,year,sex,age_group,cancer_site,icd10_code,metric,value,rate_per_100k,population,source_name,source_url,quality_flag,notes
TR-2022-ALL,official,country_level_globocan,country,Türkiye,TUR,TR,Türkiye,2022,total,all,All cancers,C00-C97,new_cases,240013,,,GLOBOCAN 2022 Türkiye Fact Sheet,https://gco.iarc.who.int/media/globocan/factsheets/populations/792-turkiye-fact-sheet.pdf,official_country_level,Country-level official estimate. Not province-level.
TR-2022-DEATHS,official,country_level_globocan,country,Türkiye,TUR,TR,Türkiye,2022,total,all,All cancers,C00-C97,deaths,129672,,,GLOBOCAN 2022 Türkiye Fact Sheet,https://gco.iarc.who.int/media/globocan/factsheets/populations/792-turkiye-fact-sheet.pdf,official_country_level,Country-level official estimate. Not province-level.
TR-2022-PREV5Y,official,country_level_globocan,country,Türkiye,TUR,TR,Türkiye,2022,total,all,All cancers,C00-C97,5y_prevalence,679335,,,GLOBOCAN 2022 Türkiye Fact Sheet,https://gco.iarc.who.int/media/globocan/factsheets/populations/792-turkiye-fact-sheet.pdf,official_country_level,Country-level official estimate. Not province-level.
TR-2022-LUNG,official,country_level_globocan,country,Türkiye,TUR,TR,Türkiye,2022,total,all,Lung,C33-C34,new_cases,41032,,,GLOBOCAN 2022 Türkiye Fact Sheet,https://gco.iarc.who.int/media/globocan/factsheets/populations/792-turkiye-fact-sheet.pdf,official_country_level,Country-level official estimate.
TR-2022-BREAST,official,country_level_globocan,country,Türkiye,TUR,TR,Türkiye,2022,total,all,Breast,C50,new_cases,25249,,,GLOBOCAN 2022 Türkiye Fact Sheet,https://gco.iarc.who.int/media/globocan/factsheets/populations/792-turkiye-fact-sheet.pdf,official_country_level,Country-level official estimate.
TR-2022-COLORECTAL,official,country_level_globocan,country,Türkiye,TUR,TR,Türkiye,2022,total,all,Colorectum,C18-C20,new_cases,21718,,,GLOBOCAN 2022 Türkiye Fact Sheet,https://gco.iarc.who.int/media/globocan/factsheets/populations/792-turkiye-fact-sheet.pdf,official_country_level,Country-level official estimate.
